Airport Name,Zipcode
Aero B Ranch Airport,737902
Epps Airpark,None
Fulton Airport,35749
Cordes Airport,73002
Goldstone /Gts/ Airport,86333
Williams Ag Airport,None
Grass Patch Airport,None
River Oak Airport,33513
Lt World Airport,34974
Delta Shores Airport,30039
Hammer Airport,None
Hayenga's Cant Find Farms Airport,None
Hayden Farm Airport,62543
Robbins Roost Airport,None
Lejeune Airport,40489
Battle Lake Municipal Airport,21632
Cooper Flying Service Airport,56515
Bucks Airport,64870
Weiss Airfield,27525
Gull Bay Landing Airport,14469
Mc Kenzie Bridge State Airport,16137
Flying O Airport,97413
Homan Field,29153
Ragsdale Road Airport,57237
Alpine Range Airport,37355
Vaughan Airport,76140
Groundhog Mountain Airport,24520
Lower Granite State Airport,None
Howell Airport,None
Northern Lite Airport,98351
Lazy J. Aerodrome,None
L P Askew Farms Airport,None
Purkeypile Airport,79373
Ware Island Airport,None
Swansboro Country Airport,35046
Rybolt Ranch Airport,95667
Cedar Knoll Flying Ranch Airport,32820
The Farm Airport,32732
Lava Hot Springs Airport,None
Myers Field,83246
William E. Koenig Airport,46149
Hilliard Airpark,62022
Caldwell Municipal Airport,32046
Flying N Ranch Airport,67022
Barham Airport,66859
Schumaier Restricted Landing Area,71264
Country Breeze Airport,62274
Topsail Airpark,None
Detour Airport,28443
Moore Airfield,None
Champion Ranch Airport,03741
Lantana Ranch Airport,None
Bierly(Personal Use) Airport,None
Nort's Resort Airport,16823
York Airport,None
Smith Field,29710
Colonial Air Park,75126
Mims Farm Ultralightport,38017:38141
Duckwater Airport,75167
La Sal Junction Airport,None
Pickles Airport,84530
Prehn Cranberry Company Airport,22611
Keyhole Airport,54660
Rustic Wilderness Airport,None
Bass Field,99688
Shannon Field,36555
Conover Air Lodge Airport,38739
Mc Cullough Airport,93225
Osborn Airfield,None
Doug Bolton Field,34736
Etowah Fields Airport,30530
Morgan Ranch Airport,30145
Diamond P. Field,46069
Jmj Landing Airport,47396
Nadeau's Airfield,None
Fairplains Airpark,04001
Greenbush Municipal Airport,48838
Troy Airpark,56726
Watts Field,None
Benes Service Airport,38746
Paiute Meadows Airport,68065
Zimmerman Airport,None
Murtha Airport,43420
Rowena Dell Airport,44082
Cuylers Airport,98635
Hughes Ultralightport,02693
Wise River Airport,29918
Ellis Field,None
The Palms At Kitty Hawk Airport,37153
Lucin Airport,79383
The Greenhouse Airport,None
Cawleys South Prairie Airport,22714
Beer Airport,98321
Fowler Field,54082
JLS Farms Airport,None
Seidel Ranch Airport,None
Thompson International Aviation Airport,78719
Kugel-Strong Airport,None
Lake Persimmon Airstrip,80651
HIA Airport,33852
East Field,30450
Flying Y Ranch Airport,50171
Davis Field Ultralightport,83612
Wix Airport,47620
Flying H Farms Airport,46030
Hadley Airport,42420
Nauerth Land Ranch Airport,04040
Cascade Field,56143
Mc Donnell Airport,None
Utirik Airport,64742
Pilots Ridge Airport,None
Olafson Brothers Airport,28412
Hyde Ranch Airport,None
Llama Ranch Airport,None
Talmage Field,None
Gibbs Field,11902
Powwatka Ridge Airport,74066
