Airport Name,Zipcode
Dangriga Airport,0
Orodara Airport,0
Fascene Airport,0
Anse-a-Galets Airport,0
Gomez Airport,4.2
Skálavatn Airport,7
Tanout Airport,7
Wilwal International Airport,19
Humera Airport,19
Axum Airport,40
Sutherland Airport,46
Minna Airport,54
Hippo Valley Airport,54
Home Park Airport,54
Al Marj Airport,64
Al Khadim Airport,64
Ajena Airstrip,70
Kpong Airfield,70
Sarir (C-4) Airport,75
Dahra Airport,75
Sartaneja Airport,79
El Obeid Airport,99
Nohanas Airport,100
Matabeng Village Airport,100
Reykjahlíð Airport,101
Mutare Airport,102
Mutoko Airport,102
Antsalova Airport,110
Hluhluwe Airport,118
Kidepo Airport,123
Williston Airport,140
Baicheng Chang'an Airport,150
Worcester Glider Airport,151
Mohlanapeng Airport,160
Mantsonyane Airport,160
Kabale Airport,167
Tessenei Airport,170
Assab International Airport,170
Tawi airfield,174
Mafinga Airport,174
Buffalo Spring,174
Lomé-Tokoin Airport,183
Griffins Peace River Ranch Airport,185
Cap Skirring Airport,191
Ziguinchor Airport,191
Tafaraoui Airport,200
Betainomby Airport,201
Kwilu-Ngongo Airport,202
Konde Airport,202
Tsaratanana Airport,209
Siyalima Airport,236
Sengwa Gorge Airport,236
RAF Ascension Island,240
Fatundu Airport,243
Yuki Airport,243
Kipata Katika Airport,243
Kenge Airport,243
Mutena Airport,243
Bultfontein Airport,250
C.C. Strip,263
Joshua Mqabuko Nkomo International Airport,263
Hollister Field,264
Nýjidalur Airport,270
Lira Airport,276
Katse Airport,280
Bobete Airport,280
Mok Airport,281
Assab International Airport,291
Massawa International Airport,291
Letseng Airport,300
Lesobeng Airport,300
Farafangana Airport,301
Antsoa Airport,303
Ambatondrazaka Airport,316
Bekily Airport,316
Jinja Airport,329
Gihohi Airport,331
Gitega Airport,331
Lebakeng Airport,333
Flaxman Island Airstrip,333
Kolberg Airport,333
Letseng Airport,333
Gunnarsholt Airport,351
Abong M'bang Airport,351
Raufarhöfn Airport,360
Breiðdalsvík Airport,370
Siglufjörður Airport,370
Vesthimmerlands Flyveplads,380
Tsitsikama Fly Airport,380
Kaldármelar Airport,400
Grange Airport,407
Húsavík Airport,425
Harford Field,427
Beica Airport,427
Reykhólar Airport,450
Rand Airport,470
Fort Portal Airport,481
Santa Cruz Airport,501
Tambohorano Airport,501
Arrachart Airport,503
Ankavandra Airport,504
Buffalo Spring,507
Embakasi Airport,507
Overberg Airport,510
Lucapa Airport,532
Búðardalur Airport,540
Eshowe Airport,557
Vík Airport,560
Skógasandur Airport,580
Sehonghong Airport,600
Sehlabathebe Airport,600
Vangaindrano Airport,601
Grímsstaðir Airport,611
Betroka Airport,614
Patreksfjörður Airport,625
Húsafell Airport,630
Sauðárkrókur Airport,670
Londolovit Airport,675
Babanakira Airport,677
Thorisos Airport,680
Port St Johns Airport,690
Tankaro Airport,691
Einholtsmelar Airport,700
Punda Maria(Malia) Airport,700
Darlington Dam Lodge Airport,715
Baeir Airport,720
Bamenda Airport,731
Flúðir Airport,750
Egilsstaðir Airport,765
Grundarfjörður Airport,806
Takoradi Airport,807
Hailuoto Airport,810
Rockhampton Downs Airport,822
Rutshuru Airport,841
Katale Airport,841
Fagurhólsmýri Airport,845
Gjögur Airport,850
Hornafjörður Airport,850
Oltipesi Airport,850
Vatnsnes Airport,851
Underberg Airport,859
Hrafnseyri Airport,860
Melgerðismelar Airport,861
Kópasker Airport,881
