destination,continent,country,city
Seen Art,Africa,Algeria,Algiers
Pacha Club,Africa,Algeria,Algiers
White Dream,Africa,Algeria,Algiers
Didouche Mourad,Africa,Algeria,Algiers
Cosmopolitain,Africa,Algeria,Algiers
Diamond Lounge,Africa,Algeria,Algiers
City Center Shopping Mall,Africa,Algeria,Algiers
Coffee Inn,Africa,Algeria,Algiers
Coffee Box,Africa,Algeria,Algiers
Bab Ezzouar Shopping Mall,Africa,Algeria,Algiers
Milk Bar,Africa,Algeria,Algiers
Fit Coffee,Africa,Algeria,Algiers
California Cafe,Africa,Algeria,Algiers
L'Honoré Restaurant,Africa,Algeria,Algiers
Havana,Africa,Algeria,Algiers
Restaurant Erriane,Africa,Algeria,Algiers
La Palmeraie Restaurant,Africa,Algeria,Algiers
Le Tyrolien,Africa,Algeria,Algiers
La Salsa,Africa,Algeria,Algiers
Taj Mahal,Africa,Algeria,Algiers
El Djenina,Africa,Algeria,Algiers
Palais des Rais,Africa,Algeria,Algiers
Museum of Popular Arts & Traditions,Africa,Algeria,Algiers
Museum of Antiquities,Africa,Algeria,Algiers
Djama’a al-Djedid,Africa,Algeria,Algiers
Museum of Modern & Contemporary Art,Africa,Algeria,Algiers
La Grande Poste d'Alger,Africa,Algeria,Algiers
Bardo National Museum,Africa,Algeria,Algiers
Dar Hassan Pacha,Africa,Algeria,Algiers
Casbah,Africa,Algeria,Algiers
Botanical Garden Hamma,Africa,Algeria,Algiers
Martyrs' Memorial,Africa,Algeria,Algiers
Notre-Dame d'Afrique Basilica,Africa,Algeria,Algiers
Ketchaoua Mosque,Africa,Algeria,Algiers
Golden Tulip Farah Marrakech,Africa,Morocco,Marrakesh
Riad Malika,Africa,Morocco,Marrakesh
Ryads Al Maaden Medina & Golf Resorts,Africa,Morocco,Marrakesh
Hotel Lawrence d'Arabie,Africa,Morocco,Marrakesh
Hotel Mansour Eddhabi,Africa,Morocco,Marrakesh
Herboriste Des Amis,Africa,Morocco,Marrakesh
Jnane Leila,Africa,Morocco,Marrakesh
Carre Eden Shopping Center,Africa,Morocco,Marrakesh
33 Rue Majorelle,Africa,Morocco,Marrakesh
Mustapha Blaoui,Africa,Morocco,Marrakesh
Rue Souq-el-Kebir,Africa,Morocco,Marrakesh
Ensemble Artisanal,Africa,Morocco,Marrakesh
Le Bar Churchill,Africa,Morocco,Marrakesh
Canto'Bar,Africa,Morocco,Marrakesh
Es Saadi Gardens & Resort - Palace,Africa,Morocco,Marrakesh
555 Famous Club,Africa,Morocco,Marrakesh
Royal Mansour Bar,Africa,Morocco,Marrakesh
Nikki Beach,Africa,Morocco,Marrakesh
Theatro,Africa,Morocco,Marrakesh
Jad Mahal,Africa,Morocco,Marrakesh
Comptoir Darna,Africa,Morocco,Marrakesh
Dar Cherifa,Africa,Morocco,Marrakesh
Patisserie des Princes,Africa,Morocco,Marrakesh
Café de France,Africa,Morocco,Marrakesh
Les Jardins de la Medina,Africa,Morocco,Marrakesh
I Limoni,Africa,Morocco,Marrakesh
Bagatelle,Africa,Morocco,Marrakesh
Djemaa El-fna,Africa,Morocco,Marrakesh
Patisserie Amandine Marrakech,Africa,Morocco,Marrakesh
Le Foundouk,Africa,Morocco,Marrakesh
Café du Livre,Africa,Morocco,Marrakesh
Dar Moha,Africa,Morocco,Marrakesh
Casa Lalla,Africa,Morocco,Marrakesh
Ksar El Hamra,Africa,Morocco,Marrakesh
Dar Marjana,Africa,Morocco,Marrakesh
Ali Ben Youssef Madrasa,Africa,Morocco,Marrakesh
Hammam,Africa,Morocco,Marrakesh
Oasiria Water Park,Africa,Morocco,Marrakesh
Atlas Mountains,Africa,Morocco,Marrakesh
Tanneries,Africa,Morocco,Marrakesh
Menara Gardens,Africa,Morocco,Marrakesh
Koutoubia Mosque and Minaret,Africa,Morocco,Marrakesh
El Badi Palace,Africa,Morocco,Marrakesh
City Walls,Africa,Morocco,Marrakesh
Saadian Tombs,Africa,Morocco,Marrakesh
The Souks,Africa,Morocco,Marrakesh
Azar,Africa,Morocco,Marrakesh
Pepe Nero,Africa,Morocco,Marrakesh
AlFassia,Africa,Morocco,Marrakesh
The Restaurant of La Sultana,Africa,Morocco,Marrakesh
Majorelle Garden,Africa,Morocco,Marrakesh
Maison de la Photographie,Africa,Morocco,Marrakesh
Alpha 55,Africa,Morocco,Casablanca
Anfaplace Shopping Center,Africa,Morocco,Casablanca
Morocco Mall,Africa,Morocco,Casablanca
La Bodega,Africa,Morocco,Casablanca
Black House,Africa,Morocco,Casablanca
Rick's Café,Africa,Morocco,Casablanca
Marché Central,Africa,Morocco,Casablanca
Derb Ghallef,Africa,Morocco,Casablanca
Habous (New Medina),Africa,Morocco,Casablanca
Mood Café,Africa,Morocco,Casablanca
El Maarif,Africa,Morocco,Casablanca
Le Cabestan,Africa,Morocco,Casablanca
Alias Club Mazagan,Africa,Morocco,Casablanca
Caffè Vergnano 1882,Africa,Morocco,Casablanca
SOJOU,Africa,Morocco,Casablanca
Gossip Beach,Africa,Morocco,Casablanca
Cafe M,Africa,Morocco,Casablanca
Amoud,Africa,Morocco,Casablanca
Glacier Oliveri,Africa,Morocco,Casablanca
Cafe Bianca,Africa,Morocco,Casablanca
Patisserie Bennis Habous,Africa,Morocco,Casablanca
KHOS,Africa,Morocco,Casablanca
L'Entrecôte Café de Paris,Africa,Morocco,Casablanca
Blend Gourmet Burger,Africa,Morocco,Casablanca
FENCE,Africa,Morocco,Casablanca
Art Age Restaurant,Africa,Morocco,Casablanca
Creperie Bretonne,Africa,Morocco,Casablanca
ILOLI,Africa,Morocco,Casablanca
Don Camillo,Africa,Morocco,Casablanca
India Palace,Africa,Morocco,Casablanca
Restaurant Imilchil,Africa,Morocco,Casablanca
L'Etoile Centrale,Africa,Morocco,Casablanca
Restaurant Le Port de Pêche,Africa,Morocco,Casablanca
Basmane Restaurant,Africa,Morocco,Casablanca
A Ma Bretagne,Africa,Morocco,Casablanca
Palais Royal de Casablanca,Africa,Morocco,Casablanca
Musée de la Fondation Abderrahman Slaoui,Africa,Morocco,Casablanca
Place des Nations Unies,Africa,Morocco,Casablanca
Morocco Expert Tours,Africa,Morocco,Casablanca
Anfa Royal Golf Club,Africa,Morocco,Casablanca
Taverne Du Dauphin,Africa,Morocco,Casablanca
Hammam Ziani,Africa,Morocco,Casablanca
Parc de la Ligue Arabe,Africa,Morocco,Casablanca
Aquaparc Tamaris,Africa,Morocco,Casablanca
Port of Casablanca,Africa,Morocco,Casablanca
Club Le Barry,Africa,Morocco,Casablanca
Phare d'el Hank,Africa,Morocco,Casablanca
Place Mohammed V,Africa,Morocco,Casablanca
Beaches Ain Diab and La Corniche,Africa,Morocco,Casablanca
Villa Des Arts,Africa,Morocco,Casablanca
Museum of Moroccan Judaism,Africa,Morocco,Casablanca
Cathédrale du Sacré Coeur,Africa,Morocco,Casablanca
Cinéma Rialto,Africa,Morocco,Casablanca
Hassan II Mosque,Africa,Morocco,Casablanca
The Old Medina,Africa,Morocco,Casablanca
Victoria & Alfred Waterfront,Africa,South Africa,Cape Town
Long Street,Africa,South Africa,Cape Town
Pan African Market,Africa,South Africa,Cape Town
Cape Town Comedy Club,Africa,South Africa,Cape Town
Alexander Bar,Africa,South Africa,Cape Town
Tyger Valley Centre,Africa,South Africa,Cape Town
The Woodstock Gin Company,Africa,South Africa,Cape Town
Willowbridge Shopping Centre,Africa,South Africa,Cape Town
Shimmy Beach Club,Africa,South Africa,Cape Town
Asoka,Africa,South Africa,Cape Town
African Arts and Crafts,Africa,South Africa,Cape Town
The Dubliner,Africa,South Africa,Cape Town
Clarke’s Books,Africa,South Africa,Cape Town
Kloof Street and Long Street,Africa,South Africa,Cape Town
Fiction,Africa,South Africa,Cape Town
Bascule,Africa,South Africa,Cape Town
Waterfront Craftmarket,Africa,South Africa,Cape Town
Victoria Wharf Shopping Mall,Africa,South Africa,Cape Town
Grand West Casino,Africa,South Africa,Cape Town
Mama Africa,Africa,South Africa,Cape Town
Café Mojito,Africa,South Africa,Cape Town
Tribe Coffee,Africa,South Africa,Cape Town
Bootlegger Sea Point,Africa,South Africa,Cape Town
Truth Coffee Roasting,Africa,South Africa,Cape Town
Bean There Coffee Company,Africa,South Africa,Cape Town
Manna Epicure,Africa,South Africa,Cape Town
Kloof Street House,Africa,South Africa,Cape Town
Lola’s,Africa,South Africa,Cape Town
Diemersdal Farm Eatery,Africa,South Africa,Cape Town
Quay 4 Tavern,Africa,South Africa,Cape Town
Africa Café,Africa,South Africa,Cape Town
The Famous Butcher’s Grill,Africa,South Africa,Cape Town
Pigalle Restaurant,Africa,South Africa,Cape Town
Old Biscuit Mill,Africa,South Africa,Cape Town
Stellenbosch,Africa,South Africa,Cape Town
Woodstock,Africa,South Africa,Cape Town
Koopmans-De Wet House,Africa,South Africa,Cape Town
Groot Constantia,Africa,South Africa,Cape Town
Simonstown,Africa,South Africa,Cape Town
Camps Bay,Africa,South Africa,Cape Town
Franschhoek,Africa,South Africa,Cape Town
Slave Lodge Museum,Africa,South Africa,Cape Town
Bo-Kaap Museum,Africa,South Africa,Cape Town
District Six Museum,Africa,South Africa,Cape Town
Zeitz Museum of Contemporary Art Africa (MOCAA),Africa,South Africa,Cape Town
Kirstenbosch National Botanical Gardens,Africa,South Africa,Cape Town
Robben Island,Africa,South Africa,Cape Town
Two Oceans Aquarium,Africa,South Africa,Cape Town
Table Mountain Aerial Cableway,Africa,South Africa,Cape Town
Cape of Good Hope & Cape Point,Africa,South Africa,Cape Town
Nile Hilton,Africa,Egypt,Cairo
Pension Roma,Africa,Egypt,Cairo
Windsor Hotel,Africa,Egypt,Cairo
Mayfair Hotel,Africa,Egypt,Cairo
Horus House,Africa,Egypt,Cairo
Cairo Festival City Mall,Africa,Egypt,Cairo
Khan el-Khalili,Africa,Egypt,Cairo
Oum El Dounia Gallery,Africa,Egypt,Cairo
Deals,Africa,Egypt,Cairo
Wekalet El Ghoury,Africa,Egypt,Cairo
Pub 28,Africa,Egypt,Cairo
Cairo Jazz Club,Africa,Egypt,Cairo
Sufi,Africa,Egypt,Cairo
Cilantro,Africa,Egypt,Cairo
Beano’s,Africa,Egypt,Cairo
Tentmakers' Souk,Africa,Egypt,Cairo
Harris Café,Africa,Egypt,Cairo
Simonds,Africa,Egypt,Cairo
El-Abd,Africa,Egypt,Cairo
L'aubergine,Africa,Egypt,Cairo
Felfela Restaurant,Africa,Egypt,Cairo
El Morocco,Africa,Egypt,Cairo
Abou el-Sid,Africa,Egypt,Cairo
El Fishawy,Africa,Egypt,Cairo
Coptic Museum,Africa,Egypt,Cairo
The New Camel Market,Africa,Egypt,Cairo
The Citadel,Africa,Egypt,Cairo
Northern Cemetery / City of the Dead,Africa,Egypt,Cairo
The Pyramids of Giza,Africa,Egypt,Cairo
Egyptian Museum,Africa,Egypt,Cairo
