destination,country/city
Molino de el Roque,"Canary Islands,Fuerteventura"
Casa-Museo de Colón,"Canary Islands,Gran Canaria"
Cueva Pintada Museum & Archaeological Park,Canary Islands
Iglesia de Santa María,"Canary Islands,Fuerteventura"
Parque Natural de Corralejo,"Canary Islands,Fuerteventura"
Museo del Queso Majorero,"Canary Islands,Fuerteventura"
Playa del Pozo,"Canary Islands,Fuerteventura"
Turtle Nursery,"Canary Islands,Fuerteventura"
Playa de Cofete,"Canary Islands,Fuerteventura"
Playa de Cofete,Canary Islands
La Maceta,Canary Islands
Cueva Pintada Museum & Archaeological Park,Europe
Dai Temple,China
Amun Temple Enclosure,
Yuyuan Gardens & Bazaar,China
Omote-sandō,Japan
Iglesia de Nuestra Señora de la Concepción,"Canary Islands,El Hierro"
Tokugawa Art Museum,"Japan,Central Honshū"
Sarobetsu Wetlands,"Japan,Hokkaidō"
Matsumoto-jō,"Japan,Central Honshū"
Zenkō-ji,"Japan,Central Honshū"
Lukwika-Lumesule Game Reserve,Tanzania
Waki-honjin (Okuya) & Local History Museum,"Japan,Central Honshū"
Twenty Mile Beach,"USA,Hawaii"
Museo de la Cultura Guna,Panama
Casa de los Coroneles,"Canary Islands,Fuerteventura"
Chihiro Art Museum Azumino,"Japan,Central Honshū"
Selimiye Mosque,Turkey
Aglona Basilica,Latvia
Aquário da Madeira,Portugal
Grutas e Centro do Vulcanismo,Portugal
Parque Temático da Madeira,Portugal
Igreja de São Bento,Portugal
Mudas Museu,Portugal
Henriques & Henriques,Portugal
Ben Danan Synagogue,Morocco
Chouara Tannery,Morocco
Geghard Monastery,Armenia
Mother See of Holy Etchmiadzin,Armenia
Möminə Xatun,Azerbaijan
Museo del Palazzo,Italy
Souq Al Qaisariah,Saudi Arabia
Al Habala,Saudi Arabia
Al Musawkaf Market,Saudi Arabia
Al Mudaifar Mosque,Saudi Arabia
Al Nasb,Saudi Arabia
Ottoman Fort,Saudi Arabia
Pearl Merchants' Neighbourhood,Saudi Arabia
Hail Flea Market,Saudi Arabia
Jubbah Rock Carvings,Saudi Arabia
Children's Museum of Eau Claire,USA
Al Ain Mosque,Saudi Arabia
Ithra,Saudi Arabia
Ballandean Estate,"Australia,Queensland"
Manuka Oval,"Australia,Australian Capital Territory,Canberra"
National Gallery of Australia,"Australia,Australian Capital Territory,Canberra"
National Museum of Australia,"Australia,Australian Capital Territory,Canberra"
Australian Institute of Sport,"Australia,Australian Capital Territory,Canberra"
Australian War Memorial,"Australia,Australian Capital Territory,Canberra"
Loch Brewery & Distillery,"Australia,Victoria"
Al Wasil Fort,Oman
Art Gallery of Western Australia,"Australia,Western Australia,Perth"
Fremantle Prison,"Australia,Western Australia,Perth"
Aquarium of Western Australia,"Australia,Western Australia,Perth"
Kings Park & Botanic Garden,"Australia,Western Australia,Perth"
Hyde Park,"Australia,Western Australia,Perth"
Lake Monger,"Australia,Western Australia,Perth"
Bell Tower,"Australia,Western Australia,Perth"
Warri & Yatungka,"Australia,Western Australia"
Gwalia Historic Site,"Australia,Western Australia"
Inside Australia,"Australia,Western Australia"
Jule Collins Smith Museum of Fine Art,USA
Mining and Pastoral Museum,"Australia,Western Australia"
Walga Rock,"Australia,Western Australia"
Museum of National Resistance,Greece
Petroglyphs,Oman
Peace Gorge,"Australia,Western Australia"
Arnolds Park Amusement Park,USA
NewBo,USA
Grant Wood Murals,USA
Miami Marketta,"Australia,Queensland"
Port MacDonnell Maritime Museum,"Australia,South Australia"
Naracoorte Caves National Park,"Australia,South Australia"
Damaniyat Islands,Oman
Port Germein Jetty,"Australia,South Australia"
Skillogalee,"Australia,South Australia"
Mt Remarkable National Park,"Australia,South Australia"
Kumano Hongū Taisha,Japan
The Nations Silo,USA
Greenock Brewers,"Australia,South Australia"
Big Head,Canada
Jacob's Creek,"Australia,South Australia"
Athabasca Glacier,Canada
"The Museum, Archaeological Institute of Kashihara",Japan
Moraine Lake,Canada
Yamunotri Temple,India
National Quilt Museum,USA
Gangotri Temple,India
Mauzóleum Andreja Hlinku,Slovakia
Comrat Regional History Museum,Moldova
Kedarnath,India
Chandrisilla Peak,India
Watchtower,Oman
Crystal Springs Rhododendron Garden,USA
Oregon Convention Center,USA
Forest Park,USA
Lan Su Chinese Garden,USA
Center for Contemporary Art & Culture,USA
Galicia Jewish Museum,Poland
Tom McCall Waterfront Park,USA
Wadi Bani Kharus,Oman
Schindler's Factory,Poland
Wawel Royal Castle,Poland
New Jewish Cemetery,Poland
St Mary's Basilica,Poland
National Museum,Poland
Łazienki Park,"Poland,Warsaw"
Palace of Culture & Science,"Poland,Warsaw"
Praga Museum of Warsaw,"Poland,Warsaw"
Tumby Bay Mural,"Australia,South Australia"
Edithburgh Museum,"Australia,South Australia"
Evergreen Brick Works,"Canada,Toronto"
Tommy Thompson Park,"Canada,Toronto"
Harbourfront Centre,"Canada,Toronto"
St Lawrence Market Complex,"Canada,Toronto"
CN Tower,"Canada,Toronto"
Elgin & Winter Garden Theatre,"Canada,Toronto"
Royal Ontario Museum,"Canada,Toronto"
High Park,"Canada,Toronto"
Art Gallery of Ontario,"Canada,Toronto"
Battlefields Park,"Canada,Québec City"
Le Château Frontenac,"Canada,Québec City"
Stansbury Museum,"Australia,South Australia"
Empty Quarter Viewpoint,Oman
Wadi Darbat,Oman
Samten Yongcha Gompa,India
Rock Garden,Oman
Dodge Point Preserve,USA
Beach,Albania
Himara Beach,Albania
Kitayamazaki Cliffs,Japan
Amy Johnson Memorial,"Australia,Queensland"
Al Hoota Cave,Oman
Japan Center,"USA,California"
Keller Estate,"USA,California"
Ulster Museum,
St Anne's Cathedral,
City Hall,
Titanic Belfast,
Pantai Kukup,Indonesia
Pantai Indrayanti,Indonesia
Cais Palafítico da Carrasqueira,Portugal
Carcoar Court House,"Australia,New South Wales"
Sonaf Baun,Indonesia
Gili Asahan,Indonesia
Bon Secour National Wildlife Refuge,USA
Fairhope Museum of History,USA
National Memorial for Peace & Justice,USA
US Space & Rocket Center,USA
Dismals Canyon Conservatory,USA
Rosenbaum House,USA
Sloss Furnaces,USA
Hauz Khas,"India,Delhi"
Purana Qila,"India,Delhi"
Gurdwara Bangla Sahib,"India,Delhi"
Red Fort,"India,Delhi"
Kakadu National Park,"Australia,Northern Territory"
Uluru-Kata Tjuta National Park,"Australia,Northern Territory"
Umm Al Emarat Park,"United Arab Emirates,Abu Dhabi"
Gostuša,Serbia
Memorial Museum '21st October',Serbia
Smith Appleby House,USA
St. Ann Arts & Cultural Center,USA
LA Mayer Museum for Islamic Art,
Sabah Agriculture Park,Malaysia
Museo de la Nación Guna,Panama
Brownsberg Nature Reserve & Brokopondo,
Grande Anse,Seychelles
Pairi Daiza,Belgium
Park HaYarkon,Israel
Haddaj Well,Saudi Arabia
Catedral de Pedra,Brazil
Kinabatangan Orangutan Conservation Project (KOCP),Malaysia
Bukit Belanda,Malaysia
Blue Hill Mountain,USA
Kostanjevica Monastery,Slovenia
Wilson Museum,USA
Museum Bahari Bintan,Indonesia
Church of the Holy Trinity,Slovenia
Bredene Strand,Belgium
G-Tower,South Korea
Mahane Yehuda Market,
Área Silvestre de Narganá,Panama
Bayano Caves,Panama
Waterfall,Panama
Jaffa Flea Market,Israel
Carmel Market,Israel
City of David,
Tel Aviv Museum of Art,Israel
Nikola Tesla Memorial Centre,Croatia
Church of the Holy Sepulchre,
Museum of Salt,Croatia
Medina,"Tunisia,Tunis"
Marché Centrale,"Tunisia,Tunis"
Dar Gmach,Tunisia
Museo Jesuítica de Santa Fe,Paraguay
La Marsa Beach,"Tunisia,Tunis"
Antonine Baths,"Tunisia,Tunis"
Djerbahood,Tunisia
Praia Mole,Brazil
Praia do Santinho,Brazil
Dar Ennejma Ezzahra,"Tunisia,Tunis"
Praia da Lagoinha,Brazil
Basilica de Caacupé,Paraguay
Pakpa Monastery,"China,Tibet"
Cabildo Histórico,Paraguay
Grey Towers,"USA,Pennsylvania"
Kamaishi Dai-kannon,Japan
Fort Raleigh National Historic Site,USA
Brasserie d'Achouffe,Belgium
Julius Sturgis Pretzel Bakery,"USA,Pennsylvania"
Drölma Lhakhang,"China,Tibet"
Cook Forest State Park,"USA,Pennsylvania"
