destination,continent,country,city
Bintang Warisan Hotel,Asia,Malaysia,Kuala Lumpur
Hotel Solverde Porto,Europe,Portugal,Porto
Palace Hotel do Bussaco,Europe,Portugal,Porto
"Dialogue Center ""Upheavals""",Europe,Poland,Szczecin
Poznan Zoo,Europe,Poland,Poznan
The Pavilions,Europe,Poland,Warsaw
"Parkingowa, Żurawia and Nowogrodzka Streets",Europe,Poland,Warsaw
Mazowiecka Street,Europe,Poland,Warsaw
Clubs by the Vistula,Europe,Poland,Warsaw
Galeria Mokotów,Europe,Poland,Warsaw
Kredytowa Street,Europe,Poland,Warsaw
Fashion House Outlet Centre,Europe,Poland,Warsaw
Vitkac,Europe,Poland,Warsaw
Złote Tarasy,Europe,Poland,Warsaw
3 Mysia Street,Europe,Poland,Warsaw
Annopol and Ursus Outlet Factory,Europe,Poland,Warsaw
Borsch,Europe,Poland,Warsaw
Three Crosses Square,Europe,Poland,Warsaw
Mokotowska Street,Europe,Poland,Warsaw
Arkadia,Europe,Poland,Warsaw
Chłodnik (cold soup),Europe,Poland,Warsaw
Night market,Europe,Poland,Warsaw
Żurek,Europe,Poland,Warsaw
Pyzy,Europe,Poland,Warsaw
Pierogi,Europe,Poland,Warsaw
Pork knuckle in jelly,Europe,Poland,Warsaw
Zygmuntówka,Europe,Poland,Warsaw
Herring Warsaw-Style,Europe,Poland,Warsaw
Chocolate by Wedel,Europe,Poland,Warsaw
Doughnuts,Europe,Poland,Warsaw
W-Z cake,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Illumination,Europe,Poland,Warsaw
Singer’s Warsaw Festival of Jewish Culture,Europe,Poland,Warsaw
Hush Warsaw - Fashion & Design Fairs,Europe,Poland,Warsaw
Warsaw Marathons,Europe,Poland,Warsaw
Garlands on the Vistula,Europe,Poland,Warsaw
Warsaw Restaurant Week,Europe,Poland,Warsaw
Orange Warsaw Festival,Europe,Poland,Warsaw
Warsaw Film Festival,Europe,Poland,Warsaw
The Cross-Culture Warsaw Festival,Europe,Poland,Warsaw
Chopin’s Music Concerts at Łazienki Royal Park,Europe,Poland,Warsaw
Jazz in the Old Town International Festival,Europe,Poland,Warsaw
Veturilko,Europe,Poland,Warsaw
Copernicus Science Centre and Planetarium,Europe,Poland,Warsaw
The University of Warsaw Library Garden,Europe,Poland,Warsaw
Multimedia Fountain Park,Europe,Poland,Warsaw
Playgrounds and outdoor sports gyms,Europe,Poland,Warsaw
Dollhouse Museum,Europe,Poland,Warsaw
Zoo,Europe,Poland,Warsaw
POLIN Museum of the History of Polish Jews,Europe,Poland,Warsaw
The National Museum,Europe,Poland,Warsaw
Palace of Culture and Science,Europe,Poland,Warsaw
Fryderyk Chopin Museum,Europe,Poland,Warsaw
Museum of King Jan III's Palace at Wilanów,Europe,Poland,Warsaw
Copernicus Science Centre and Planetarium,Europe,Poland,Warsaw
Łazienki Royal Park,Europe,Poland,Warsaw
The Vistula Boulevards,Europe,Poland,Warsaw
The Warsaw Rising Museum,Europe,Poland,Warsaw
The Old Town,Europe,Poland,Warsaw
Fashion House Outlet Centre,Europe,Poland,Warsaw
Galeria Mokotów,Europe,Poland,Warsaw
Arkadia,Europe,Poland,Warsaw
Złote Tarasy,Europe,Poland,Warsaw
Vitkac,Europe,Poland,Warsaw
Żurek,Europe,Poland,Warsaw
Pierogi,Europe,Poland,Warsaw
Zygmuntówka,Europe,Poland,Warsaw
Pyzy,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Warsaw Restaurant Week,Europe,Poland,Warsaw
Warsaw Film Festival,Europe,Poland,Warsaw
Hala Koszyki,Europe,Poland,Warsaw
Soho Factory,Europe,Poland,Warsaw
Murals and street art,Europe,Poland,Warsaw
City cruises in old cars from communist times,Europe,Poland,Warsaw
The University of Warsaw Library Garden,Europe,Poland,Warsaw
The Charm of PRL - Museum of Life under Communism,Europe,Poland,Warsaw
Zoo,Europe,Poland,Warsaw
Central Agricultural Library,Europe,Poland,Warsaw
The Vistula Embankment,Europe,Poland,Warsaw
Church of the Visitation of the Most Blessed Virgin Mary,Europe,Poland,Warsaw
Maria Skłodowska-Curie Museum,Europe,Poland,Warsaw
SPA_larnia,Europe,Poland,Poznan
City Park Hotel & Residence,Europe,Poland,Poznan
Harmonia SPA – IBB Andersia Hotel,Europe,Poland,Poznan
SPA 1306 - Termy Maltańskie,Europe,Poland,Poznan
Church of St. Nicholas the Bishop in Skoki,Europe,Poland,Poznan
Poznań Episcopal Palace in Buk,Europe,Poland,Poznan
Tulce Sanctuary,Europe,Poland,Poznan
Baszta Halszki (Museum – Górków Castle),Europe,Poland,Poznan
„Octopus” Aquapark in Suchy Las,Europe,Poland,Poznan
The water tower,Europe,Poland,Poznan
Museum of Greater Poland Uprising in Lusowo,Europe,Poland,Poznan
Church in Gułtowy,Europe,Poland,Poznan
Beekeeping Museum,Europe,Poland,Poznan
